Автор,Название статьи,Название сборника/журнала,Выпуск / номер,Где издано,Год издания,Страницы,Номер отчета,Название памятника
"	Дубман Э.Л., Мышкин В.Н.","Отчёт о разведках на территории Государственного природного национального парка ""Самарская Лука"" (Ставропольский и Волжский районы Куйбышевской области) в 1987 г.","Архив Археологической лаборатории СамГУ",,"Куйбышев","1988","41-42",,"Валы III"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","132","Р1 №4135","Казанкинское I"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","131","Р1 №4135","Казанкинское III"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","131-132","Р1 №4135","Казанкинское II"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","132","Р1 №4135","Искровское"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","133","Р1 №4135","Каменнобродское II"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","133-134","Р1 №4135","Баганинское"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","134","Р1 №4135","Баганинское II м"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Большефроловское II"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","246",,"Большефроловское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Большефроловское II"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","59",,"Черки-Бибкеевское V с"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Черки-Бибкеевское V с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Черки-Бибкеевское V с"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","59",,"Черки-Бибкеевское IV с"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Черки-Бибкеевское IV с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Черки-Бибкеевское IV с"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","59",,"Черки-Бибкеевское II"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Черки-Бибкеевское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Черки-Бибкеевское II"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","109",,"Черки-Бибкеевское II"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","59-60",,"Черки-Бибкеевское II с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Черки-Бибкеевское II с"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","60",,"Черки-Бибкеевское I"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Черки-Бибкеевское I"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","247",,"Черки-Бибкеевское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Черки-Бибкеевское I"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","109",,"Черки-Бибкеевское I"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","60",,"Черки-Бибкеевское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Черки-Бибкеевское III"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","60",,"Черки-Бибкеевское I с"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Черки-Бибкеевское I с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Черки-Бибкеевское I с"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Апастовское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","64",,"Большеатрясское I"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Большеатрясское I"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","247",,"Большеатрясское I"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","67",,"Малоболгоярское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","67-68",,"Бикеевское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","68",,"Бикеевское I – II"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","70",,"Нижнебарышевское II"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","71-72",,"Карамышихинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Карамышихинское"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","246",,"Большекарлангинское"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","107-108",,"Большекарлангинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","35",,"Большекарлангинское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","56",,"Большекарлангинское I"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","52",,"Киртелинское"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","201",,"Киртелинское"
"Руденко К.А.","История изучения археологических памятников в г. Тетюши.","Материалы и исследования по средневековой археологии Восточной Европы.",,"Казань","2009","59",,"Киртелинское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","56",,"Большекарлангинское II"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Большекарлангинское II"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Большекарлангинское I"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","246",,"Большекарлангинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","35",,"Большекарлангинское I"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","246",,"Большекарлангинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","35",,"Большекарлангинское II"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","56",,"Большекарлангинское III"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","133-134","Р1 №4135","Баганское"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","135","Р1 №4135","Чувашское Эштебенькино II"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","136","Р1 №4135","Чувашское Эштебенькино I"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","137","Р1 №4135","Сиделькинcкое I"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","138","Р1 №4135","Сиделькинское III"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","138","Р1 №4135","Сиделькинское II"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","138","Р1 №4135","Пролетарское"
"Сташенков Д.А.","К вопросу об этнических контактах в Среднем Поволжье в эпоху раннего средневековья.","Этногенез и этнокультурные контакты славян.","Т. 3","Москва","1997","290-297",,"Пролетарское"
"Сташенков Д.А.","Раскопки памятников раннего средневековья на севере Самарской области.","АО 1999 г.",,"Москва","2001","210-211",,"Пролетарское"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","15",,"Старочелнинское IV"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","140","Р1 №4135","Старочелнинское IV"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969",,"Р1 №4135","Старочелнинское V"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","141","Р1 №4135","Старочелнинское III"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","142","Р1 №4135","Старочелнинское II"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","142","Р1 №4135","Старочелнинское I"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","143","Р1 №4135","Бурметьевское I"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","94",,"Карадулинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Карадулинское II"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","112",,"Лаишевское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Лаишевское II"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","113",,"Серебрячихинское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Серебрячихинское I"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","113",,"Серебрячихинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Серебрячихинское II"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","113",,"Богородицкое I"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","113-114",,"Именьковcкое I м"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Именьковcкое I м"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","114",,"Именьковское I с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Именьковское I с"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","114",,"Именьковское I"
"Шпилевский С.М.","Древние города и другие булгаро-татарские памятники Казанской губернии.",,,"Казань","1877","385-386",,"Именьковское I"
"Калинин Н.Ф., Халиков А.Х.","Именьковское городище.","МИА","№80","Москва","1960","226-250",,"Именьковское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","36",,"Именьковское I"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","166-167",,"Именьковское I"
,"Археологическая карта Татарской АССР. Предкамье.",,,"Москва","1981","114",,"Чирпынское"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","144","Р1 №4135","Урнякское III"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","144","Р1 №4135","Урнякское II"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","145","Р1 №4135","Урнякское I"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","146",,"Краснозвездинское"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","146","Р1 №4135","Вишневополянское II"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","148-149","Р1 №4135","Русско-Менчинское"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","149","Р1 №4135","Единение"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","17-20","Р1 №2394","Девичий Городок с"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962",,"Р1 №2394","Девичий Городок II"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986",,,"Девичий Городок с"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","83",,"Коминтерновское"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","84",,"Коминтерновское I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","84",,"Коминтерновское II"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962","6-7","Р1 №2394","Коминтерновское III"
"Калинин Н.Ф., Халиков А.Х.","Итоги археологических работ за 1945 - 1952 гг.",,,"Казань","1954","46",,"Христофоровское"
"Калинин Н.Ф.","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.",,,"Казань","1948",,"Ф1 Р1 №143","Христофоровское"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962",,"Р1 №2394","Коминтерновское м"
"Казаков Е.П.","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.",,,"Казань","1962",,"Р1 №2394","Христофоровское"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","68",,"Коминтерновское III а"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","68",,"Коминтерновское п"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","69",,"Измерское"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","70",,"Измерское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40-41",,"Бурметьевское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","14",,"Бурметьевское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Бурметьевское III"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","14",,"Урнякское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Урнякское I"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","14",,"Урнякское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Урнякское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","14",,"Урнякское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Урнякское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сотниковское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сотниковское V"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","15",,"Казанкинское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Казанкинское III"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","15",,"Казанкинское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Казанкинское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","15",,"Казанкинское м"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969",,"Р1 №4135","Казанкинское м"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","16",,"Вишневополянское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Вишневополянское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","16",,"Русско-Менчинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Русско-Менчинское"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","16",,"Единение"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Единение"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","16",,"Краснозвездинское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Краснозвездинское"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","17",,"Тюрнясевское II м"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","17",,"Тюрнясевское  I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Тюрнясевское  I"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","17",,"Тюрнясевское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Тюрнясевское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","17",,"Татсунчелеевское IV"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","17",,"Татсунчелеевское III"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","17",,"Татсунчелеевское VI"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","17",,"МЮД VI"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","17",,"МЮД V"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","18",,"Старокиязлинское III"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","18",,"Новоильмовское"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сотниковское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","41",,"Сотниковское IV"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","19",,"Ульяновское II"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Ульяновское II"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","19",,"Ульяновское I"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Ульяновское I"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","19",,"Новокутушское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","40",,"Новокутушское III"
,"Археологические памятники бассейна р. Черемшан.",,,"Казань","1990","19",,"Новокутушское II"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Большекарлангинское III"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","246",,"Большекарлангинское III"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","35",,"Большекарлангинское III"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","56",,"Большекарлангинское IV"
"Калинин Н.Ф.","Экспедиция по западным районам Татарской АССР.","КСИИМК","Вып. XLIV","Москва","1952","58",,"Большекарлангинское IV"
"Степанов П.Д.","Материалы для археологической карты западной части Среднего Поволжья.","МИА","111","Москва","1962","246",,"Большекарлангинское IV"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","35",,"Большекарлангинское IV"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","133-134",,"Карамышихинское"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","72",,"Карамышихинское с"
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Карамышихинское с"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","81",,"Теньковское ""Гора Стеньки Разина"""
"Старостин П.Н.","Памятники именьковской культуры.","САИ","вып. Д1-32","Москва","1967","34",,"Теньковское ""Гора Стеньки Разина"""
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","140",,"Теньковское ""Гора Стеньки Разина"""
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","80-81",,"Теньковское с"
"Казаков Е.П., Старостин П.Н., Халиков А.Х.","Археологические памятники Татарской АССР",,,"Казань","1987","140",,"Теньковское с"
,"Археологическая карта Татарской АССР. Предволжье.",,,"Казань","1985","81",,"Русско-Буртасское I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","70",,"Измерское II"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","71",,"У Пичкасского рыбопитомника"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","71",,"Кожаевское"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","72",,"Бураковское III"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","72",,"Бураковское II м"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","72",,"Ямкинское  IV"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","72",,"Войкинское III"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","72",,"Войкинское IV"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","72, 80",,"Войкинское V"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","80",,"Войкинское I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","74",,"Старосельское I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","75",,"Базарноматакское I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","74",,"Базарноматакское II"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","75",,"Тяжбердинское I"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","75",,"Тяжбердинское II"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","76",,"Биктемировское"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","77",,"Гурьевское III"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","147-148","Р1 №4135","Тубинское I"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","150-151","Р1 №4135","Старопальчиковское"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","153","Р1 №4135","Новомавринское"
"Фахрутдинов Р.Г.","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","Архив ИА",,"Казань","1969","154","Р1 №4135","Зай-Чишминское"
