Название,Описание,Эпоха,Culture,Вторая культура,Type,Y,X,id
Старокамкинское местонахождение I,"Старое Камкино, село Алькеевского района, правый берег реки Малый Черемшан. В 1,3 км к северо-северо-востоку от села ТАЭ в 1965 г. выявлено селище.",2,15,,3,50.122203,54.851236,409
Старокамкинское селище I,"Старое Камкино, село. В 1 км к востоку-северо-востоку от села около озера ТАЭ в 1965 г. выявлено селище площадью 175000 кв. м (500Х350 м) и слоем в 20 см.",2,11,,2,50.141636,54.8416,410
Старокамкинское селище II,"Старое Камкино, село. На напольной стороне городища находится селище площадью 120 000 (400Х300 м) кв. м.",2,11,,2,50.100353,54.836361,411
Старокамкинское селище III,"Старое Камкино, село. В 0,3 км к северо-западу от городища ТАЭ в 1965 г. выявлено селище площадью 45000 (300Х150 м) кв. м.",2,15,,2,50.107219,54.839253,412
Старомокшинская стоянка,"Старое Мокшино, село. В 0,1 км к северу от края села на мысу надлуговой террасы, образованном устьем оврага Шишкинский и рекой, ТАЭ в 1963 г. на площади 100 X 50 м собрана лепная плоскодонная керамика с примесью шамота в тесте. Здесь же отмечена лепная тонкостенная керамика с примесью толчёной раковины в тесте и шнуровым орнаментом булгарского времени, но прикамского типа.",2,11,,2,50.814836,54.713206,413
Старомокшинское поселение I,"Старое Мокшино, село. В 0,8 — 1 км к северу от села на правом берегу Шишкинского оврага ТАЭ в 1963 г. на площади 70 X 60 м собрана лепная срубная и гончарная булгарская керамика.",2,11,,2,50.817089,54.716925,414
Старомокшинское селище II,"Старое Мокшино, село. В 1 км к северу от села и к югу от Старомокшинского городища  ТАЭ в 1963 г. выявлено селище площадью 4200 кв. м.",2,11,,2,50.817283,54.717261,415
Старомуллинский могильник,"Старое Муллино, деревня. На территории селища ТАЭ в Г962 г. прослежены следы могильника.",2,15,,4,50.199903,54.916714,416
Старомуллинское селище,"Старое Муллино, деревня Алексеевского района, правый берег р. М. Черемшан. В 3 км к юго-востоку от деревни ТАЭ в 1962 г. выявлено селище.",2,11,,2,50.199044,54.917083,417
Старорусскоальметьевское местонахождение I,"Старое Русское Альметьево, село. В 0,3 км к западу-юго-западу от села ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.367592,54.773258,418
Старорусскоальметьевское местонахождение II,"Старое Русское Альметьево. село. В 0,25 км к юго-западу от местонахождения I ТАЭ в 1964 г. найдено скопление булгарской керамики.",2,15,,3,50.364561,54.771897,419
Старорусскоальметьевское местонахождение III,"Старое Русское Альметьево, село. В 1,7 км к юго-западу от села ТАЭ в 1964 г. выявлено несколько фрагментов гончарной керамики.",2,15,,3,50.35285,54.763397,420
Старорусскоальметьевское селище,"Старое Русское Альметьево, село Октябрьского района, левый берег р. Мараса. На южной окраине села ТАЭ в 1964 г. обнаружено селище площадью 52 500 кв. м и культурным слоем в 30—35 см.",2,15,,2,50.3631,54.776853,421
Старорусскоамзинское местонахождение II,"Старая Русская Амзя, село В 1,2 км к северо-востоку от села ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.421331,54.840547,422
Старорусскоамзинское селище I,"Старая Русская Амзя, село. В 0,8 км к северо-востоку от села ТАЭ в 1964 г. обнаружено селище площадью 30 000 кв. м.",2,11,,2,50.411908,54.835656,423
Старорусскоамзинское селище II,"Старая Русская Амзя, село. В 2 км к северо-востоку от села ТАЭ в 1964 г. обнаружено селище площадью 120000 кв. м. Слой в 35 см.",2,11,,2,50.414742,54.840203,424
Старорусскоамзинское селище III,"Старая Русская Амзя, село. В 2 км к северо-востоку от села ТАЭ в 1964 г. выявила селище, занимающее площадь 150 000 кв. м и содержащее в массе булгарскую, редко срубную керамику. Среди булгарской есть ранняя типа салтовской горшечной, с растительной примесью.",2,11,,2,50.416972,54.842031,425
Старорусскоамзинское селище IV,"Старая Русская Амзя, село. В 2,5 км к северо-востоку от села ТАЭ в 1964 г. обнаружено селище площадью 30 000 кв. м.",2,11,,2,50.419289,54.843908,426
Старорусскоамзинское селище V,"Старая Русская Амзя, село Октябрьского района, левый берег ручья Курналинка, правого притока речки Гирей. В северо-западном конце села ТАЭ в 1964 г. выявлено поселение площадью 4800 кв. м.",2,15,,2,50.403669,54.83155,427
Старосаврушинское кладбище с надгробиями,"Старые Савруши, село. На северо-западной окраине села у шоссейной дороги имеется два надгробных памятника: один (70Х 60Х30 см) представляет собой обломок камня с надписью (читается в три строки), выполненной врезанным куфическим почерком. Датируется 1349 г. Другой (210Х68Х25 см) выполнен врезанным некаллиграфическим почерком. В верхней части камня вырезан орнамент — солнечный знак, по сторонам которого расположены два орнаментальных круга меньшего диаметра. Датируется XIV в.",2,100000000000011,,4,50.71885,54.999019,428
Старосаврушинское кладбище с надгробиями,"Старые Савруши, село. На северо-западной окраине села у шоссейной дороги имеется два надгробных памятника: один (70Х 60Х30 см) представляет собой обломок камня с надписью (читается в три строки), выполненной врезанным куфическим почерком. Датируется 1349 г. Другой (210Х68Х25 см) выполнен врезанным некаллиграфическим почерком. В верхней части камня вырезан орнамент — солнечный знак, по сторонам которого расположены два орнаментальных круга меньшего диаметра. Датируется XIV в.",2,100000000000011,,12,50.71885,54.999019,429
Старосаврушинское местонахождение I,"Старые Савруши, село, правый берег речки Саврушка. В 0,4 км к западу от села найдена булгарская керамика.",2,15,,3,50.714903,54.996722,430
Старосаврушинское местонахождение III,"Старые Савруши, село. В 0,5 км к северо-востоку от села ТАЭ в 1964 г. отмечена булгарская керамика.",2,11,,3,50.747972,55.00755,431
Старосаврушинское местонахождение IV,"Старые Савруши, село, левый берег р. Саврушка. В 2 км к югу от села ТАЭ в 1964 г. найдена булгарская керамика.",2,11,,3,50.715244,54.979372,432
Старосаврушинское местонахождение V,"Старые Савруши, село. В 0,15 км к западу-юго-западу от села ТАЭ в 1964 г. найдена булгарская керамика.",2,18,,3,50.718103,54.992983,433
Старосаврушинское селище,"Старые Савруши, село. В 0,5 км к западу-юго-западу от села ТАЭ в 1964 г. выявлено селище площадью 15000 кв. м.",2,11,,2,50.714086,54.994269,434
Старотатадамское городище,"Старый Татарский Адам, село. На южной окраине села, на правом берегу речки Адамка ТАЭ в 1964 г. выявлено городище округлой формы (площадь 34000 кв. м), окруженное со всех сторон валом (высота до 1 м, при ширине до 10 м) и рвом (глубина до 1,1 м, при ширине 7 м).",2,11,,1,50.595025,55.000369,435
Старотатадамское местонахождение I,"Новый Чувашский Адам, деревня Алексеевского района, левый берег речки Адамка. На северной окраине деревни находится булгарское каменное надгробие, исследованное в 1963 г. Г. В. Юсуповым.",2,15,,3,50.615667,55.034142,436
Старотатадамское местонахождение III,"Старый Татарский Адам, село Алексеевского района, левый берег речки Адамка (Адам Су), левого притока р. М. Черемшан. В 0,3 км к северу от села ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.606303,55.017347,437
Старотатадамское селище I,"Старый Татарский Адам, село. Между селом и городищем располагается пригородищенское селище площадью 30 000 кв. м и слоем в 20 см. С селища происходит железный наконечник копья.",2,11,,2,50.601811,55.005836,438
Старотатадамское селище II,"Старый Татарский Адам, село. К югу от села ТАЭ в 1964 г. обнаружено обширное селище (600Х250 m) со слоем в 30 см.",2,11,,2,50.599581,55.003592,439
Старотатальметьевское местонахождение II,"Старое Татарское Альметьево, село. В 2 км к северо-западу от села ТАЭ в 1964 г. найдены фрагменты булгарской керамики.",2,11,,3,50.320925,54.801411,440
Старотатальметьевское местонахождение III,"Старое Татарское Альметьево, село. В 0,3 км к северо-северо-западу от местонахождения II выявлено ещё одно скопление булгарской керамики.",2,11,,3,50.320061,54.804161,441
Старотатальметьевское селище IV,"Старое Татарское Альметьев о, село. В 0,7 км к северо-западу от села ТАЭ в 1964 г. обнаружено селище площадью 67 500 кв. м и культурным слоем в 20 см. Среди керамики есть салтовская горшечная с растительной примесью.",2,11,,2,50.339628,54.794417,442
Старотатальметьевское селище V,"Старое Татарское Альметьево, село. В 1 км к северо-западу от села ТАЭ в 1964 г. обнаружено селище, занимающее площадь в 2b000 кв. м. Среди булгарской керамики имеются обломки лепной посуды салтово-маяцкого типа.",2,11,,2,50.337997,54.796347,443
Старотатамзинское кладбище,"Старая Татарская Амзя, село. На южной окраине села в 1912 г. во время дорожных работ были вскрыты остатки мусульманского кладбища.",2,15,,4,50.407917,54.823742,444
Старотатамзинское местонахождение I,"Старая Татарская Амзя, село, правый берег речки Курналинка, правого притока р. Мараса. В 1,8 км к северо-северо-западу от села ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.407022,54.844189,445
Старотатамзинское местонахождение II,"Старая Татарская Амзя, село. В 0,7—0,8 км к югу от села на левом берегу речки Гирей ТАЭ в 1964 г. найдено несколько фрагментов керамики.",2,15,,3,50.408061,54.814678,446
Старотатамзинское поселение I,"Старая Татарская Амзя, село. В 1,5 км к юго-западу от села на левом берегу суходола ТАЭ в 1964 г. на площади 300Х100 м собрана лепная и булгарская гончарная керамика. Лепная керамика по примесям и характеру обработки может быть отнесена к именьковской.",2,15,,2,50.397028,54.821847,447
Старотатамзинское селище I,"Старая Татарская Амзя, село. В 1,2 км к северо-западу от села ТАЭ в 1964 г. выявила селище (300Х60 м).",2,15,,2,50.400528,54.815436,448
Старотатамзинское селище II,"Старая Татарская Амзя, село. В 1,7 км к северо-северо-западу от села ТАЭ в 1964 г. выявлено селище площадью 300Х150 м и слоем в 35 см.",2,15,,2,50.395136,54.83295,449
Старотатамзинское селище III,"Старая Татарская Амзя, село. В 0,3 км к востоку от села на мысу надлуговой террасы ТАЭ в 1964 г. на площади 450Х300 м собрана срубная и булгарская керамика. Выявлен культурный слой мощностью 50 см.",2,11,,2,50.405825,54.826219,450
Старотатамзинское селище III,"Старая Татарская Амзя, село. В 0,3 км к востоку от села на мысу надлуговой террасы ТАЭ в 1964 г. на площади 450Х300 м собрана срубная и булгарская керамика. Выявлен культурный слой мощностью 50 см.",2,11,,2,50.405825,54.826219,451
Старотимошкинское местонахождение,"Старое Тимошкино, село. В 1 км к западу от села ТАЭ в 1963 г. обнаружено несколько фрагментов гончарной керамики.",2,15,,3,50.971003,54.732419,452
Старотимошкинское селище,"Старое Тимошкино, село. На месте Старотимошкинской стоянки II зафиксированы остатки булгарской посуды домонгольского периода. Слой распахан.",2,15,,2,50.98285,54.733444,453
Старотимошкинское селище I,"Старое Тимошкино, село. В 0,8 км к западу от села на правом берегу р. Б. Сульча ТАЭ в 1963 г. выявлено селище площадью 5400 кв. м.",2,15,,2,50.984481,54.727894,454
Староузеевское селище I,"Старое Узеево, село Ак-субаевского района, левый берег р. Б. Сульча. В 1 км к западу от села на мысу надлуговой распаханной террасы между рекой Сульча и левым её притоком ТАЭ в 1973 г. на площади 100Х50 м собран подъёмный материал, состоящий из булгарской керамики. Культурный слой разрушен пахотой.",2,15,,2,50.872419,54.698647,455
Староузеевское селище II,"Старое Узеево, село , правый берег р. Большая Сульча. В 0,3—0,4 км к северу от села ТАЭ в 1963 г. выявлено селище.",2,11,,2,50.887825,54.701375,456
Старочелнинские находки,"Старые Челны, село Алексеевского района, верховье речки Баранка. Из села в каталоге археологических коллекций Казанского университета отмечены железные предметы булгарского типа: сошник, цепь.",2,15,,3,50.05415,54.981039,457
Старочелнинское селище и местонахождение,"Старые Челны, село Октябрьского района, правый берег речки Старый Ключ, правого притока р. Б. Черемшан. В 0,1 км к северу от села ТАЭ в 1965 г. собрана гончарная керамика. На площади 300Х100 м здесь же распространена именьковская керамика.",2,15,,3,50.966764,54.562433,458
Старочувадамское местонахождение I,"Старый Чувашский Адам, село. В 0,5 км к северо-востоку от села ТАЭ в 1964 г. найдена булгарская керамика.",2,11,,3,50.545153,54.953878,459
Старочувадамское местонахождение IV,"Старый Чувашский Адам, село. В 2,5 км к юго-юго-западу от села на правой стороне оврага «Усрав» ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.546447,54.920769,460
Старочувадамское селище I,"Старый Чувашский Адам, село, правый берег речки Сосновка. В 1,4—1,5 км к востоку от села на небольшом мысу ТАЭ в 1964 г. обнаружено селище. Есть керамика салтовского типа с растительной примесью.",2,11,,2,50.577183,54.939206,461
Старочувадамское селище II,"Старый Чувашский Адам, село. В 1 км к востоку от села ТАЭ в 1964 г. обнаружено селище площадью 10000 кв. м и слоем в 20 см.",2,11,,2,50.5186,54.943864,462
Старочувадамское селище III,"Старый Чувашский Адам, село. В 0,9 км к юго-юго-востоку от села между оврагами «Винный» и «Усрав» ТАЭ в 1964 г. обнаружено селище площадью 1200 кв. м и слоем в 20 см.",2,15,,2,50.532722,54.930408,463
Старочувадамское селище IV,"Старый Чувашский Адам, село, правый берег речки Адам Су. В 2 км к югу от села на правом берегу оврага «Винный» ТАЭ в 1964 г. обнаружено селище площадью 4200 кв. м и слоем в 40 см.",2,11,,2,50.536328,54.921908,464
Старочувадамское селище V,"Старый Чувашский Адам, село Алексеевского района, левый берег р. Адамка (Адам Су). В 3,2 км — 3,3 км к юго-юго-западу от села в урочище «Медвежья Поляна» ТАЭ в 1964 г. обнаружено селище площадью 45 300 кв. м. С селища известны железные вещи, в частности панцырь.",2,11,,2,50.550061,54.913997,465
Староямкинское местонахождение,"Старое Ямкино, село. В 0,4 км к северу от села ТАЭ в 1964 г. обнаружено несколько фрагментов гончарной керамики.",2,11,,3,50.173644,54.772864,466
Староямкинское селище,"Старое Ямкино, село. В I км к северо-северо-западу от села на левом берегу суходола ТАЭ в 1964 г. обнаружено селище площадью 10 000 кв. м.",2,15,,2,50.157544,54.774783,467
Таталкинское кладбище,"Татарское Алкино, посёлок. К северо-западу от посёлка в 0,15—0,25 км находится старое кладбище, до недавнего времени огороженное.",2,15,,4,50.889036,55.103756,468
Таталкинское местонахождение,"Татарское Алкино, посёлок. К юго-западу от сельского кладбища ТАЭ в 1964 г. найдена булгарская керамика.",2,11,,3,50.888353,55.103008,469
Таталкинское селище I,"Татарское Алкино, посёлок. В 0,3 км к западу-северо-западу от посёлка ТАЭ в 1964 г. обнаружено селище площадью 50 000 кв. м. Местные жители здесь находили разные вещи: ральники, молоток и т. п.",2,18,,2,50.882733,55.102639,470
Таталкинское селище II,"Татарское Алкино, посёлок Чистопольского района, правый берег р. Чебоксарка. В юго-западной части посёлка ТАЭ в 1964 году зафиксировало селище площадью в 17 000 кв. м и слоем в 40 см.",2,11,,2,50.889556,55.098808,471
Таталкинское селище III,"Татарское Алкино, посёлок Чистопольского района, левый берег речки Чебоксарка. Напротив посёлка через речку ТАЭ в 1964 г. обнаружено селище площадью 17000 кв. м.",2,11,,2,50.885694,55.100772,472
Татахматьевское кладбище,"Татарское Ахматьево, село Алькеевского района, правый берег реки Малый Черемшан. В селе Г. В. Юсуповым в 1962 г. определено место старого кладбища, где находились каменные надгробия.",2,18,,4,50.050014,54.696511,473
Татахматьевское кладбище,"Татарское Ахматьево, село Алькеевского района, правый берег реки Малый Черемшан. В селе Г. В. Юсуповым в 1962 г. определено место старого кладбища, где находились каменные надгробия.",2,18,,12,50.050014,54.696511,474
Татбурнаевское городище,"Татарское Бурнаево, село. Находится к юго-западу от села на длинном мысу между берегом речки Бурнайка и ее правым оврагом, в урочище «Алка» («Кольцо»). Городище имеет округлую форму (площадь 16000 кв. м), задерновано и обнесено валами (до 1,55 м высоты) и рвами (до 2,2 м глубины). На укреплениях зафиксированы проезды. Культурный слой до 40 см.",2,11,,1,49.850597,54.728689,475
Татбурнаевское кладбище с надгробием,"Татарское Бурнаево, село. В 500 м к юго-западу от села, на месте старого кладбища «Изгелэр осте» («Кладбище святых») есть обломок надгробного камня (57Х47Х18 см) со следами стрельчатой арки и остатками двустрочного текста, выполненного врезанным куфическим почерком. Буквы мелкие. Рядом находятся еще несколько мелких осколков. Все это находится за железной оградой. Сельчане считают, что здесь похоронен Бурнай-бабай. По типологии памятник можно датировать XIV веком. Исследован Г. В. Юсуповым в 1962 г.",2,100000000000011,,4,49.846236,54.728219,476
Татбурнаевское местонахождение,"Татарское Бурнаево, село Алькеевского района, левый берег речки Бурнайка, правого притока речки Ата-су, правого притока реки Малый Черемшан. В 0,8 км к северо-северо-востоку от села ТАЭ в 1965 г. найдена булгарская керамика.",2,15,,3,49.87535,54.74755,477
Татбурнаевское селище I,"Татарское Бурнаево, село. К югу от села ТАЭ в 1965 г. обнаружено селище площадью 18 000 кв. м.",2,11,,2,49.858853,54.726139,478
Татбурнаевское селище II,"Татарское Бурнаево, село. На напольной стороне городища расположено селище площадью 105 000 кв. м.",2,11,,2,49.8507,54.728275,479
Татбурнаевское селище III,"Татарское Бурнаево, село. В 0,15 км к востоку от городища через овраг ТАЭ в 1965 г. выявлено селище площадью 43 400 кв. м.",2,11,,2,49.853575,54.728672,480
Татбурнаевское селище IV,"Татарское Бурнаево, село. В 0,6 км к юго-западу от села ТАЭ в 1965 г. выявлено селище площадью 30 000 кв. м.",2,18,,2,49.848383,54.727406,481
Татмулинское селище," Татарское Муллино, деревня. В 1,8—2 км к западу от деревни в верховьях оврага, выходящего к реке, ТАЭ в 1965 г. выявило селище площадью в 30000 кв. м (200Х150 м) и слоем в 20 см.",2,11,,2,50.122269,54.892633,482
Татмуллинское местонахождение,"Татарское Муллино, деревня Алексеевского района, правый берег р. М. Черемшан. В 0,6 км к северо-западу от деревни ТАЭ в 1965 г. зафиксировано местонахождение булгарской керамики.",2,11,,3,50.133814,54.906497,483
Татстуденецкое местонахождение I,"Татарский Студенец, деревня Алькеевского района, левый берег ручья «Салкын Чишмэ», правого притока реки Малый Черемшан. В 0,6 км к юго-востоку от деревни ТАЭ в 1965 г. обнаружена булгарская керамика.",2,15,,3,50.059631,54.827744,484
Татстуденецкое местонахождение II,"Татарский Студенец, деревня. На юго-восточной окраине деревни ТАЭ в 1965 г. найдена булгарская керамика.",2,11,,3,50.052319,54.827542,485
Татстуденецкое местонахождение III,Татарский Студенец. деревня. В 1 км к северо-западу от деревни ТАЭ в 1965 г. найдена булгарская керамика.,2,15,,3,50.030281,54.841194,486
Татстуденецкое местонахождение IV,"Татарский Студенец, деревня. правый берег ручья. К северо-западу от деревни ТАЭ в 1965 г. найдена булгарская керамика.",2,15,,3,50.038925,54.835478,487
Татстуденецкое селище I,"Татарский Студенец, деревня. В 0,3 км к югу от высокого конца деревни ТАЭ в 1965 г. обнаружено селище площадью 15 000 кв. м.",2,11,,2,50.051219,54.825817,488
Татстуденецкое селище II,"Татарский Студенец, деревня . В 0,8 км к юго-юго-востоку от деревни ТАЭ в 1965 г. выявлено селище площадью 20000 (200Х100 м) кв. м и слоем в 30 см.",2,11,,2,50.064867,54.826161,489
Татсунчелеевский могильник,"Татарское Сунчелеево, село. Разведкой ТАЭ летом 1973 г. на месте Татсунчелеевского селища V  зафиксированы следы мусульманских надгробий. На глубине около 60 см от уровня современной поверхности могильника вскрыты остатки костяка взрослого человека, лежащего в яме подчетырёхугольной формы, головой на запад, на правом боку, без вещей.",2,15,,4,50.689806,54.729006,490
Татсунчелеевское городище,"Татарское Сунчелеево, село. Расположено в 0,5 км к северу от села, на высоком мысу коренного правого берега реки, в урочище «Кыз-кала». Площадка подтреугольной формы (2,8 тыс кв. м), с напольной стороны ограничена кокошниковидным валом (высота около 7 м) и рвом. В 1911 г. городище впервые обследовано В. Карасёвым. В 1963 г. оно изучалось ТАЭ отрядом П. Н. Старостина. Выявлен культурный слой мощностью 60—70 см, а также хозяйственные ямы-кладовки. Основной вещевой материал с городища относится к именьковской культуре. Есть и отдельные фрагменты булгарской керамики домонгольского облика. В подъемном материале есть венчик сосуда кушнаренковского облика.",2,11,,1,50.735942,54.724539,491
Татшапкинское кладбище с надгробием,"Татарское Шапкино, село Алькеевского района, левый берег р. Шапкинка, левый приток р. Ата-су. На северо-западной окраине села на кладбище находится булгарское надгробие (160Х60Х23 см). Верх камня полукруглый, на одной стороне высечена ломаная арка с плечиками, тимпан которой заполнен заглавной формулой текста. От основной части текста она отделена орнаментальной полоской растительного характера. Бордюр выполнен в виде рельефно-плоской полоски. Текст на этой стороне написан на арабском языке рельефными буквами почерком сульс. В таком же стиле выполнены надписи и на боковых сторонах. На обратной стороне камня вырезана восьмилепестковая розетка с контуром из сегмента, направленного наружу. По типологии камень датируется XIV в.",2,100000000000011,,4,49.781261,54.823658,492
Татшапкинское кладбище с надгробием,"Татарское Шапкино, село Алькеевского района, левый берег р. Шапкинка, левый приток р. Ата-су. На северо-западной окраине села на кладбище находится булгарское надгробие (160Х60Х23 см). Верх камня полукруглый, на одной стороне высечена ломаная арка с плечиками, тимпан которой заполнен заглавной формулой текста. От основной части текста она отделена орнаментальной полоской растительного характера. Бордюр выполнен в виде рельефно-плоской полоски. Текст на этой стороне написан на арабском языке рельефными буквами почерком сульс. В таком же стиле выполнены надписи и на боковых сторонах. На обратной стороне камня вырезана восьмилепестковая розетка с контуром из сегмента, направленного наружу. По типологии камень датируется XIV в.",2,100000000000011,,12,49.781261,54.823658,493
Татшапкинское селище,"Татарское Шапкино, село. На восточной окраине села ТАЭ в 1965 г. на берегу оврага «Юлбарыс» обнаружено селище площадью 72 000 кв. м и слоем в 20 см.",2,18,,2,49.7945,54.825142,494
Тахталинское местонахождение I,"Тахтала, село. В восточной части села найдена булгарская керамика.",2,15,,3,50.653086,54.979736,495
Тахталинское местонахождение III,"Тахтала, село. В 0,5 км к юго-юго-востоку от села ТАЭ в 1964 г. обнаружена булгарская керамика.",2,15,,3,50.650364,54.973822,496
Тахталинское местонахождение IV,"Тахтала, село, правый берег р. Адамка. В 2 км к юго-востоку от села ТАЭ в 1964 г. найдена булгарская керамика.",2,15,,3,50.671203,54.964697,497
Тахталинское селище I,"Тахтала, село, левый берег р. Адамка. В 2,5 км к юго-востоку от села ТАЭ в 1964 г. обнаружено селище площадью 12000 кв. м.",2,11,,2,50.656947,54.962131,498
Тахталинское селище II,"Тахтала, село, левый берег р. Адамка. В 0,6—0,7 км к югу от села ТАЭ в 1964 г. обнаружено селище площадью 20000 кв. м и слоем в 25 см. Среди керамики есть раннебулгарская с растительной примесью.",2,11,,2,50.649136,54.972625,499
Тюрнясевское местонахождение I,"Тюрнясево, село. У села ТАЭ в 1963 г. выявила местонахождение гончарной керамики.",2,15,,3,50.575767,54.587611,500
Тюрнясевское селище,"Тюрнясево, село Октябрьского района, левый берег р. Б. Сульча У села ТАЭ в 1963 г. выявлено селище, в материалах которого имеются фрагменты раннеболгарской керамики.",2,14,11,2,50.586067,54.595361,501
Уракчинское селище I,"Уракча, деревня Алексеевского района, правый берег р. Малый Черемшан. В 1 км к востоку от деревни на краю высокой террасы ТАЭ в 1962 г. выявлено селище площадью 25 000 кв. м и слоем в 35—40 см.",2,11,,2,50.247292,54.926958,502
Ургагарская находка,"Ургагары Старые, село Алькеевского района, верховья речки Моляша, правого притока р. М. Черемшан. Из села происходит серебряный плетеный браслет.",2,11,,3,50.0197,54.892183,503
Урмандеевское кладбище с надгробием,"Урмандеево, село. На южной окраине села на месте древнего кладбища когда-то было 3 памятника с арабографической надписью. Уцелел лишь один из них (97Х54Х20 см). Камень имеет резную арку, текст выполнен врезанным куфическим почерком, сохранность надписи плохая. Памятник датируется XIV в.",2,100000000000011,,4,50.812758,55.002681,504
Урмандеевское кладбище с надгробием,"Урмандеево, село. На южной окраине села на месте древнего кладбища когда-то было 3 памятника с арабографической надписью. Уцелел лишь один из них (97Х54Х20 см). Камень имеет резную арку, текст выполнен врезанным куфическим почерком, сохранность надписи плохая. Памятник датируется XIV в.",2,100000000000011,,12,50.812758,55.002681,505
Урмандеевское местонахождение,"Урмандеево, село. В 0,4 км к северо-западу от села ТАЭ в 1964 г. обнаружена булгарская керамика.",2,15,,3,50.808306,55.013131,506
Урмандеевское селище I,"Урмандеево, село, правый берег речки Савруши. В 0,2 км к западу от села ТАЭ в 1964 г. выявлено селище со слоем в 20 см, среди керамики с которого имеется салтовская горшечная.",2,11,,2,50.799153,55.004625,507
Урмандеевское селище II,"Урмандеево, село Аксубаевского района, левый берег речки Саврушка. В 0,4 км к югу от села ТАЭ в 1964 г. выявлено селище с небольшой площадью (9000 кв. м) и слоем в 20 см.",2,18,,2,50.811728,54.998719,508
Урнякское селище IV,"Урняк, деревня Октябрьского района, правый берег р. Б. Черемшан. В юго-западном конце деревни ТАЭ в 1965 г. выявлено селище площадью 20000 (200Х100 м) кв. м.",2,15,,2,50.832314,54.584619,509
Федоровские находки,"Фёдоровка, деревня. Из деревни в коллекции В. И.Заусайлова хранятся медные и бронзовые бляхи, вещи, в том числе «фигура животного, вероятно, лошади»",2,15,,3,50.998417,54.678486,510
Федоровское селище,"Федоровка, село Чистопольского района, левый берег р. М. Черемшан. В 0,5 км к востоку-юго-востоку от села ТАЭ в 1964 году выявлено селище площадью 67 500 кв. м и слоем в 20 см.",2,11,,2,50.897733,55.141339,511
Черемушкинское местонахождение I,"Черемушки, деревня. В 1,2 км к северо-востоку от деревни ТАЭ в 1964 г. найдена булгарская керамика, в т. ч. обломки лепных крышек.",2,15,,3,50.567494,54.969997,512
Черемушкинское селище I,"Черемушка, деревня, правый берег речки Адамка. К востоку от деревни ТАЭ в 1964 г. выявлено селище площадью 80000 кв. м и слоем в 45—50 см.",2,11,,2,50.554414,54.962483,513
Черемушкинское селище II,"Черемушки, деревня. В 1,8 км к юго-западу от деревни на правом берегу оврага «Карагач» ТАЭ в 1964 г. выявлено селище площадью 11200 кв. м и слоем в 20 см.",2,11,,2,50.524483,54.949483,514
Чувбродское городище,"Чувашский брод, село Алькеевского района, левый берег р. М. Черемшан. Находится в 0,7 км к востоку от села на высоком берегу. Площадка городища подчетырёхугольной формы (13 300 кв. м) имеет круговую оборону в виде оплывших валов (высота 0,5—0,6 м) и рвов (глубина 2,15—2,45 м). Поверхность площадки сильно нарушена силосными траншеями, постройками фермы и т. п. Культурный слой около 40 см.",2,11,,1,50.103939,54.740975,515
Чувбродское кладбище,"Чувашский Брод, село. В 0,25—0,4 км к юго-юго-востоку от городища по краю обрыва высокого берега заметны западины могильных ям. Площадь могильника (33Х10 м) огорожена, ниже в обрыве бьёт сильный «святой» ключ, почитаемый местным населением.",2,15,,4,50.082778,54.736908,516
Чувбродское селище I,"Чувашский Брод, село. В 0,5 км к югу от села ТАЭ в 1965 г. выявлено селище площадью 15 000 кв. м.",2,11,,2,50.077133,54.730475,517
